keys,vi,en
@STORY_main_story,Cốt truyện chính,Main Story
@CHAPTER_the_battle_dogs_rising,Sự Trổi dậy của Loài Chó,The Battle Dogs Rising
@LOCATION_the_battle_dogs_rising,Hành tinh Doggo,Planet Doggo
@STAGE_1,Doggonamu,Doggonamu
@STAGE_2,Cẩupuchia,Dogbodia
@STAGE_3,Xích Cẩu,Crimsom Hound
@STAGE_4,Ci Llanfairpwllgwyngyll,Ci Llanfairpwllgwyngyll
@STAGE_5,Đảo Cún ,Dogstralia
@STAGE_6,Núi Đại Cốt,Mt. Big Bone
@STAGE_7,Vùng Đất Băng Chết,Land of Freezing Death
@STAGE_8,Đường Vô Tận,Endless Road
@STAGE_9,Biên Giới Doggo,Doggo Boundary
@STAGE_10,Vịnh Đảo D.O.G,D.O.G Bay
@STAGE_11,N.E.K.O HQ,N.E.K.O HQ
@STAGE_12,Đảo Mèo,Cat Island
@STAGE_13,Sào Huyệt Loài Mèo,Catkind Lair
@STORY_eastern_boundaries,Đông Phương Kết Giới,Eastern Boundaries
@CHAPTER_shrine_maiden_of_paradise,Vu Nữ chốn Thiên Đường,Shrine Maiden of Paradise
@LOCATION_shrine_maiden_of_paradise,Đền Hakurei,Hakurei Shrine
@STAGE_miko_dog,Đại Kết Giới Hakurei,The Great Hakurei Barrier
